,geneSymbol,geneSymbol_link,map_loc,chromosome,synonyms,summary
110,MGP005094,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AMDHD2,16p13.3,16,CGI-14;,
111,MGP000543,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CHIT1,1q32.1,1,CHI3; CHIT; CHITD;,"Chitotriosidase is secreted by activated human macrophages and is markedly elevated in plasma of Gaucher disease patients. The expression of chitotriosidase occurs only at a late stage of differentiation of monocytes to activated macrophages in culture. Human macrophages can synthesize a functional chitotriosidase, a highly conserved enzyme with a strongly regulated expression. This enzyme may play a role in the degradation of chitin-containing pathogens. Several alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Jan 2012]"
112,MGP005519,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CMAS,12p12.1,12,CSS;,"Sialic acids are a family of nine-carbon sugars on cell surface glycoproteins and glycolipids that play a pivotal role in determining the structure and function of many animal tissues. The pattern of cell surface sialylation is highly regulated during embryonic development and N-glycosylation is a common post-translational modification during cellular differentiation. Sialic acids play important roles in cell-cell communications and immune responses. Sialylated glycoprotein and glycolipid formation requires the activation of a sialic acid to a cytidine monophosphate (CMP) diester by the enzyme encoded by this gene: CMP-N-acetylneuraminic acid synthetase. [provided by RefSeq, Jul 2012]"
113,MGP001191,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GFPT1,2p13,2,GFA; GFAT; GFPT; MSLG; GFAT1; CMSTA1; GFAT 1; GFAT1m; GFPT1L;,"This gene encodes the first and rate-limiting enzyme of the hexosamine pathway and controls the flux of glucose into the hexosamine pathway. The product of this gene catalyzes the formation of glucosamine 6-phosphate. [provided by RefSeq, Sep 2008]"
114,MGP004090,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GNE,9p13.3,9,NM; DMRV; IBM2; Uae1; GLCNE;,"The protein encoded by this gene is a bifunctional enzyme that initiates and regulates the biosynthesis of N-acetylneuraminic acid (NeuAc), a precursor of sialic acids. It is a rate-limiting enzyme in the sialic acid biosynthetic pathway. Sialic acid modification of cell surface molecules is crucial for their function in many biologic processes, including cell adhesion and signal transduction. Differential sialylation of cell surface molecules is also implicated in the tumorigenicity and metastatic behavior of malignant cells. Mutations in this gene are associated with sialuria, autosomal recessive inclusion body myopathy, and Nonaka myopathy. Alternative splicing of this gene results in transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]"
115,MGP004084,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GNPDA1,5q21,5,GPI; HLN; GNP1; GNPI; GNPDA;,"Glucosamine-6-phosphate deaminase (EC 3.5.99.6) is an allosteric enzyme that catalyzes the reversible conversion of D-glucosamine-6-phosphate into D-fructose-6-phosphate and ammonium (Arreola et al., 2003 [PubMed 12965206]).[supplied by OMIM, Jan 2010]"
116,MGP005799,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GNPNAT1,14q22.1,14,GNPNAT; Gpnat1;,
117,MGP001431,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HEXA,15q24.1,15,TSD;,"This gene encodes the alpha subunit of the lysosomal enzyme beta-hexosaminidase that, together with the cofactor GM2 activator protein, catalyzes the degradation of the ganglioside GM2, and other molecules containing terminal N-acetyl hexosamines. Beta-hexosaminidase is composed of two subunits, alpha and beta, which are encoded by separate genes. Both beta-hexosaminidase alpha and beta subunits are members of family 20 of glycosyl hydrolases. Mutations in the alpha or beta subunit genes lead to an accumulation of GM2 ganglioside in neurons and neurodegenerative disorders termed the GM2 gangliosidoses. Alpha subunit gene mutations lead to Tay-Sachs disease (GM2-gangliosidosis type I). [provided by RefSeq, Jul 2009]"
118,MGP001439,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HK1,10q22,10,HKD; HKI; HXK1; HMSNR; HK1-ta; HK1-tb; HK1-tc;,"Hexokinases phosphorylate glucose to produce glucose-6-phosphate, the first step in most glucose metabolism pathways. This gene encodes a ubiquitous form of hexokinase which localizes to the outer membrane of mitochondria. Mutations in this gene have been associated with hemolytic anemia due to hexokinase deficiency. Alternative splicing of this gene results in five transcript variants which encode different isoforms, some of which are tissue-specific. Each isoform has a distinct N-terminus; the remainder of the protein is identical among all the isoforms. A sixth transcript variant has been described, but due to the presence of several stop codons, it is not thought to encode a protein. [provided by RefSeq, Apr 2009]"
119,MGP005444,http://www.genenames.org/cgi-bin/gene_symbol_report?match=NAGK,2p13.3,2,GNK; HSA242910;,"This gene encodes a member of the N-acetylhexosamine kinase family. The encoded protein catalyzes the conversion of N-acetyl-D-glucosamine to N-acetyl-D-glucosamine 6-phosphate, and is the major mammalian enzyme which recovers amino sugars. [provided by RefSeq, Nov 2011]"
120,MGP006579,http://www.genenames.org/cgi-bin/gene_symbol_report?match=NANP,20p11.1,20,HDHD4; C20orf147; dJ694B14.3;,
121,MGP005274,http://www.genenames.org/cgi-bin/gene_symbol_report?match=NANS,9p24.1-p23,9,SAS; HEL-S-100;,"This gene encodes an enzyme that functions in the biosynthetic pathways of sialic acids. In vitro, the encoded protein uses N-acetylmannosamine 6-phosphate and mannose 6-phosphate as substrates to generate phosphorylated forms of N-acetylneuraminic acid (Neu5Ac) and 2-keto-3-deoxy-D-glycero-D-galacto-nononic acid (KDN), respectively; however, it exhibits much higher activity toward the Neu5Ac phosphate product. In insect cells, expression of this gene results in Neu5Ac and KDN production. This gene is related to the E. coli sialic acid synthase gene neuB, and it can partially restore sialic acid synthase activity in an E. coli neuB-negative mutant. [provided by RefSeq, Jul 2008]"
122,MGP006010,http://www.genenames.org/cgi-bin/gene_symbol_report?match=NPL,1q25,1,NAL; C112; NPL1; C1orf13;,"This gene encodes a member of the N-acetylneuraminate lyase sub-family of (beta/alpha)(8)-barrel enzymes. N-acetylneuraminate lyases regulate cellular concentrations of N-acetyl-neuraminic acid (sialic acid) by mediating the reversible conversion of sialic acid into N-acetylmannosamine and pyruvate. A pseudogene of this gene is located on the short arm of chromosome 2. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2011]"
123,MGP002266,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PGM3,6q14.1-q15,6,AGM1; PAGM; IMD23; PGM 3;,"This gene encodes a member of the phosphohexose mutase family. The encoded protein mediates both glycogen formation and utilization by catalyzing the interconversion of glucose-1-phosphate and glucose-6-phosphate. A non-synonymous single nucleotide polymorphism in this gene may play a role in resistance to diabetic nephropathy and neuropathy. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]"
124,MGP002608,http://www.genenames.org/cgi-bin/gene_symbol_report?match=RENBP,Xq28,X,RBP; RNBP;,"The gene product inhibits renin activity by forming a dimer with renin, a complex known as high molecular weight renin. The encoded protein contains a leucine zipper domain, which is essential for its dimerization with renin. The gene product can catalyze the interconversion of N-acetylglucosamine to N-acetylmannosamine, indicating that it is a GlcNAc 2-epimerase. Transcript variants utilizing alternative promoters have been described in the literature. [provided by RefSeq, Jul 2008]"
125,MGP004856,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SLC17A5,6q13,6,SD; AST; NSD; SLD; ISSD; SIASD; SIALIN;,"This gene encodes a membrane transporter that exports free sialic acids that have been cleaved off of cell surface lipids and proteins from lysosomes. Mutations in this gene cause sialic acid storage diseases, including infantile sialic acid storage disorder and and Salla disease, an adult form. [provided by RefSeq, Jul 2008]"
126,MGP002959,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UAP1,1q23.3,1,AGX; AGX1; AGX2; SPAG2;,
127,MGP000140,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AMT,3p21.31,3,GCE; NKH; GCST; GCVT;,"This gene encodes one of four critical components of the glycine cleavage system. Mutations in this gene have been associated with glycine encephalopathy. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]"
128,MGP000225,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ASNS,7q21.3,7,TS11; ASNSD;,"The protein encoded by this gene is involved in the synthesis of asparagine. This gene complements a mutation in the temperature-sensitive hamster mutant ts11, which blocks progression through the G1 phase of the cell cycle at nonpermissive temperature. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, May 2010]"
129,MGP005967,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ASRGL1,11q12.3,11,ALP; ALP1; CRASH;,
130,MGP000671,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CPS1,2q35,2,PHN; CPSASE1;,"The mitochondrial enzyme encoded by this gene catalyzes synthesis of carbamoyl phosphate from ammonia and bicarbonate. This reaction is the first committed step of the urea cycle, which is important in the removal of excess urea from cells. The encoded protein may also represent a core mitochondrial nucleoid protein. Three transcript variants encoding different isoforms have been found for this gene. The shortest isoform may not be localized to the mitochondrion. Mutations in this gene have been associated with carbamoyl phosphate synthetase deficiency, susceptibility to persistent pulmonary hypertension, and susceptibility to venoocclusive disease after bone marrow transplantation.[provided by RefSeq, May 2010]"
131,MGP000838,http://www.genenames.org/cgi-bin/gene_symbol_report?match=DLD,7q31-q32,7,E3; LAD; DLDD; DLDH; GCSL; PHE3;,"This gene encodes a member of the class-I pyridine nucleotide-disulfide oxidoreductase family. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. In homodimeric form, the encoded protein functions as a dehydrogenase and is found in several multi-enzyme complexes that regulate energy metabolism. However, as a monomer, this protein can function as a protease. Mutations in this gene have been identified in patients with E3-deficient maple syrup urine disease and lipoamide dehydrogenase deficiency. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
132,MGP001184,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GCSH,16q23.2,16,GCE; NKH;,"Degradation of glycine is brought about by the glycine cleavage system, which is composed of four mitochondrial protein components: P protein (a pyridoxal phosphate-dependent glycine decarboxylase), H protein (a lipoic acid-containing protein), T protein (a tetrahydrofolate-requiring enzyme), and L protein (a lipoamide dehydrogenase). The protein encoded by this gene is the H protein, which transfers the methylamine group of glycine from the P protein to the T protein. Defects in this gene are a cause of nonketotic hyperglycinemia (NKH). Two transcript variants, one protein-coding and the other probably not protein-coding,have been found for this gene. Also, several transcribed and non-transcribed pseudogenes of this gene exist throughout the genome.[provided by RefSeq, Jan 2010]"
133,MGP001224,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GLDC,9p22,9,GCE; GCSP; HYGN1;,"Degradation of glycine is brought about by the glycine cleavage system, which is composed of four mitochondrial protein components: P protein (a pyridoxal phosphate-dependent glycine decarboxylase), H protein (a lipoic acid-containing protein), T protein (a tetrahydrofolate-requiring enzyme), and L protein (a lipoamide dehydrogenase). The protein encoded by this gene is the P protein, which binds to glycine and enables the methylamine group from glycine to be transferred to the T protein. Defects in this gene are a cause of nonketotic hyperglycinemia (NKH).[provided by RefSeq, Jan 2010]"
134,MGP004931,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GLS2,12q13.3,12,GA; GLS; LGA; hLGA;,"The protein encoded by this gene is a mitochondrial phosphate-activated glutaminase that catalyzes the hydrolysis of glutamine to stoichiometric amounts of glutamate and ammonia. Originally thought to be liver-specific, this protein has been found in other tissues as well. Alternative splicing results in multiple transcript variants that encode different isoforms. [provided by RefSeq, Jul 2013]"
135,MGP001236,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GLUD1,10q23.3,10,GDH; GDH1; GLUD;,"This gene encodes glutamate dehydrogenase protein; a mitochondrial matrix enzyme that catalyzes the oxidative deamination of glutamate to alpha-ketoglutarate and ammonia. This enzyme has an important role in regulating amino acid induced insulin secretion and activating mutations in this gene are a common cause of congenital hyperinsulinism. This enzyme is allosterically activated by ADP and inhibited by GTP and ATP. The related glutamate dehydrogenase 2 gene on the human X-chromosome originated from this gene via retrotransposition and encodes a soluble form of glutamate dehydrogenase. Multiple pseudogenes of this gene are present in humans.[provided by RefSeq, Sep 2009]"
136,MGP001410,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HAL,12q22-q24.1,12,HIS; HSTD;,"Histidine ammonia-lyase is a cytosolic enzyme catalyzing the first reaction in histidine catabolism, the nonoxidative deamination of L-histidine to trans-urocanic acid. Histidine ammonia-lyase defects cause histidinemia which is characterized by increased histidine and histamine and decreased urocanic acid in body fluids. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2012]"
137,MGP004425,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SDS,12q24.13,12,SDH;,"This gene encodes one of three enzymes that are involved in metabolizing serine and glycine. L-serine dehydratase converts L-serine to pyruvate and ammonia and requires pyridoxal phosphate as a cofactor. The encoded protein can also metabolize threonine to NH4+ and 2-ketobutyrate. The encoded protein is found predominantly in the liver. [provided by RefSeq, Jul 2008]"
138,MGP002975,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AKR1D1,7q32-q33,7,CBAS2; SRD5B1; 3o5bred;,"The enzyme encoded by this gene is responsible for the catalysis of the 5-beta-reduction of bile acid intermediates and steroid hormones carrying a delta(4)-3-one structure. Deficiency of this enzyme may contribute to hepatic dysfunction. Three transcript variants encoding different isoforms have been found for this gene. Other variants may be present, but their full-length natures have not been determined yet. [provided by RefSeq, Jul 2010]"
139,MGP000770,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP17A1,10q24.3,10,CPT7; CYP17; S17AH; P450C17;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum. It has both 17alpha-hydroxylase and 17,20-lyase activities and is a key enzyme in the steroidogenic pathway that produces progestins, mineralocorticoids, glucocorticoids, androgens, and estrogens. Mutations in this gene are associated with isolated steroid-17 alpha-hydroxylase deficiency, 17-alpha-hydroxylase/17,20-lyase deficiency, pseudohermaphroditism, and adrenal hyperplasia. [provided by RefSeq, Jul 2008]"
140,MGP000771,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP19A1,15q21.1,15,ARO; ARO1; CPV1; CYAR; CYP19; CYPXIX; P-450AROM;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014]"
141,MGP001508,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HSD17B1,17q11-q21,17,HSD17; EDHB17; EDH17B2; SDR28C1;,
142,MGP001509,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HSD17B3,9q22,9,EDH17B3; SDR12C2;,"This isoform of 17 beta-hydroxysteroid dehydrogenase is expressed predominantly in the testis and catalyzes the conversion of androstenedione to testosterone. It preferentially uses NADP as cofactor. Deficiency can result in male pseudohermaphroditism with gynecomastia. [provided by RefSeq, Jul 2008]"
143,MGP001504,http://www.genenames.org/cgi-bin/gene_symbol_report?match=HSD3B1,1p13.1,1,I; HSD3B; HSDB3; HSDB3A; SDR11E1; 3BETAHSD;,
144,MGP002972,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SRD5A1,5p15,5,S5AR 1;,"Steroid 5-alpha-reductase (EC 1.3.99.5) catalyzes the conversion of testosterone into the more potent androgen, dihydrotestosterone (DHT). Also see SRD5A2 (MIM 607306).[supplied by OMIM, Mar 2008]"
145,MGP000217,http://www.genenames.org/cgi-bin/gene_symbol_report?match=STS,Xp22.32,X,ES; ASC; XLI; ARSC; SSDD; ARSC1;,"The protein encoded by this gene catalyzes the conversion of sulfated steroid precursors to estrogens during pregnancy. The encoded protein is found in the endoplasmic reticulum, where it acts as a homodimer. Mutations in this gene are known to cause X-linked ichthyosis (XLI). [provided by RefSeq, Jul 2008]"
146,MGP003008,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SULT1E1,4q13.1,4,EST; STE; EST-1; ST1E1;,"Sulfotransferase enzymes catalyze the sulfate conjugation of many hormones, neurotransmitters, drugs, and xenobiotic compounds. These cytosolic enzymes are different in their tissue distributions and substrate specificities. The gene structure (number and length of exons) is similar among family members. This gene encodes a protein that transfers a sulfo moiety to and from estrone, which may control levels of estrogen receptors. [provided by RefSeq, Jul 2008]"
147,MGP003023,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SULT2B1,19q13.3,19,HSST2;,"Sulfotransferase enzymes catalyze the sulfate conjugation of many hormones, neurotransmitters, drugs, and xenobiotic compounds. These cytosolic enzymes are different in their tissue distributions and substrate specificities. The gene structure (number and length of exons) is similar among family members. This gene sulfates dehydroepiandrosterone but not 4-nitrophenol, a typical substrate for the phenol and estrogen sulfotransferase subfamilies. Two alternatively spliced variants that encode different isoforms have been described. [provided by RefSeq, Jul 2008]"
148,MGP004341,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT2B11,4q13.2,4,,
149,MGP003268,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT2B17,4q13,4,BMND12; UDPGT2B17;,"This gene encodes a member of the uridine diphosphoglucuronosyltransferase protein family. The encoded enzyme catalyzes the transfer of glucuronic acid from uridine diphosphoglucuronic acid to a diverse array of substrates including steroid hormones and lipid-soluble drugs. This process, known as glucuronidation, is an intermediate step in the metabolism of steroids. Copy number variation in this gene is associated with susceptibility to osteoporosis.[provided by RefSeq, Apr 2010]"
150,MGP003628,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AKR1C3,10p15-p14,10,DD3; DDX; PGFS; HAKRB; HAKRe; HA1753; HSD17B5; hluPGFS;,"This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. These enzymes catalyze the conversion of aldehydes and ketones to their corresponding alcohols by utilizing NADH and/or NADPH as cofactors. The enzymes display overlapping but distinct substrate specificity. This enzyme catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ), and the oxidation of 9alpha,11beta-PGF2 to PGD2. It may play an important role in the pathogenesis of allergic diseases such as asthma, and may also have a role in controlling cell growth and/or differentiation. This gene shares high sequence identity with three other gene members and is clustered with those three genes at chromosome 10p15-p14. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
151,MGP000128,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX12,17p13.1,17,LOG12; 12-LOX; 12S-LOX;,
152,MGP000131,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX12B,17p13.1,17,ARCI2; 12R-LOX;,"This gene encodes an enzyme involved in the converstion of arachidonic acid to 12R-hydroxyeicosatetraenoic acid. Mutations in this gene are associated with nonbullous congenital ichthyosiform erythroderma. [provided by RefSeq, Jul 2008]"
153,MGP000132,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX15,17p13.3,17,12-LOX; 15LOX-1; 15-LOX-1;,
154,MGP000133,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX15B,17p13.1,17,15-LOX-2;,"This gene encodes a member of the lipoxygenase family of structurally related nonheme iron dioxygenases involved in the production of fatty acid hydroperoxides. The encoded protein converts arachidonic acid exclusively to 15S-hydroperoxyeicosatetraenoic acid, while metabolizing linoleic acid less effectively. This gene is located in a cluster of related genes and a pseudogene that spans approximately 100 kilobases on the short arm of chromosome 17. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]"
155,MGP000129,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX5,10q11.2,10,5-LO; 5LPG; LOG5; 5-LOX;,"This gene encodes a member of the lipoxygenase gene family and plays a dual role in the synthesis of leukotrienes from arachidonic acid. The encoded protein, which is expressed specifically in bone marrow-derived cells, catalyzes the conversion of arachidonic acid to 5(S)-hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid, and further to the allylic epoxide 5(S)-trans-7,9-trans-11,14-cis-eicosatetrenoic acid (leukotriene A4). Leukotrienes are important mediators of a number of inflammatory and allergic conditions. Mutations in the promoter region of this gene lead to a diminished response to antileukotriene drugs used in the treatment of asthma and may also be associated with atherosclerosis and several cancers. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]"
156,MGP000431,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CBR1,21q22.13,21,CBR; hCBR1; SDR21C1;,"The protein encoded by this gene belongs to the short-chain dehydrogenases/reductases (SDR) family, which function as NADPH-dependent oxidoreductases having wide specificity for carbonyl compounds, such as quinones, prostaglandins, and various xenobiotics. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Nov 2013]"
157,MGP000752,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2B6,19q13.2,19,CPB6; EFVM; IIB1; P450; CYP2B; CYP2B7; CYP2B7P; CYPIIB6;,"This gene, CYP2B6, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and its expression is induced by phenobarbital. The enzyme is known to metabolize some xenobiotics, such as the anti-cancer drugs cyclophosphamide and ifosphamide. Transcript variants for this gene have been described; however, it has not been resolved whether these transcripts are in fact produced by this gene or by a closely related pseudogene, CYP2B7. Both the gene and the pseudogene are located in the middle of a CYP2A pseudogene found in a large cluster of cytochrome P450 genes from the CYP2A, CYP2B and CYP2F subfamilies on chromosome 19q. [provided by RefSeq, Jul 2008]"
158,MGP000754,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2C8,10q23.33,10,CPC8; CYPIIC8; MP-12/MP-20;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and its expression is induced by phenobarbital. The enzyme is known to metabolize many xenobiotics, including the anticonvulsive drug mephenytoin, benzo(a)pyrene, 7-ethyoxycoumarin, and the anti-cancer drug taxol. This gene is located within a cluster of cytochrome P450 genes on chromosome 10q24. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]"
159,MGP000758,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2E1,10q26.3,10,CPE1; CYP2E; P450-J; P450C2E;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is induced by ethanol, the diabetic state, and starvation. The enzyme metabolizes both endogenous substrates, such as ethanol, acetone, and acetal, as well as exogenous substrates including benzene, carbon tetrachloride, ethylene glycol, and nitrosamines which are premutagens found in cigarette smoke. Due to its many substrates, this enzyme may be involved in such varied processes as gluconeogenesis, hepatic cirrhosis, diabetes, and cancer. [provided by RefSeq, Jul 2008]"
160,MGP000760,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2J2,1p31.3-p31.2,1,CPJ2;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is thought to be the predominant enzyme responsible for epoxidation of endogenous arachidonic acid in cardiac tissue. [provided by RefSeq, Jul 2008]"
161,MGP006338,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2U1,4q25,4,SPG49; SPG56; P450TEC;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This enzyme is a hydroxylase that metabolizes arachidonic acid, docosahexaenoic acid, and other long chain fatty acids. [provided by RefSeq, Jul 2008]"
162,MGP000763,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4A11,1p33,1,CP4Y; CYP4A2; CYP4AII;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and hydroxylates medium-chain fatty acids such as laurate and myristate. [provided by RefSeq, Jul 2008]"
163,MGP003587,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4F2,19p13.12,19,CPF2;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum. The enzyme starts the process of inactivating and degrading leukotriene B4, a potent mediator of inflammation. This gene is part of a cluster of cytochrome P450 genes on chromosome 19. Another member of this family, CYP4F11, is approximately 16 kb away. [provided by RefSeq, Jul 2008]"
164,MGP001842,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4F3,19p13.2,19,CPF3; CYP4F; LTB4H;,"This gene, CYP4F3, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum. The enzyme starts the process of inactivating and degrading leukotriene B4, a potent mediator of inflammation. This gene is part of a cluster of cytochrome P450 genes on chromosome 19. Another member of this family, CYP4F8, is approximately 18 kb away. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]"
165,MGP004502,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4F8,19p13.1,19,CPF8; CYPIVF8;,"This gene, CYP4F8, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and functions as a 19-hydroxylase of prostaglandins in seminal vesicles. This gene is part of a cluster of cytochrome P450 genes on chromosome 19. Another member of this family, CYP4F3, is approximately 18 kb away. [provided by RefSeq, Jul 2008]"
166,MGP000973,http://www.genenames.org/cgi-bin/gene_symbol_report?match=EPHX2,8p21,8,CEH; SEH;,"This gene encodes a member of the epoxide hydrolase family. The protein, found in both the cytosol and peroxisomes, binds to specific epoxides and converts them to the corresponding dihydrodiols. Mutations in this gene have been associated with familial hypercholesterolemia. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012]"
167,MGP006483,http://www.genenames.org/cgi-bin/gene_symbol_report?match=FAM213B,1p36.32,1,C1orf93;,
168,MGP001195,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GGT1,22q11.23,22,GGT; GTG; CD224; GGT 1; D22S672; D22S732;,"The enzyme encoded by this gene is a type I gamma-glutamyltransferase that catalyzes the transfer of the glutamyl moiety of glutathione to a variety of amino acids and dipeptide acceptors. The enzyme is composed of a heavy chain and a light chain, which are derived from a single precursor protein. It is expressed in tissues involved in absorption and secretion and may contribute to the etiology of diabetes and other metabolic disorders. Multiple alternatively spliced variants have been identified. There are a number of related genes present on chromosomes 20 and 22, and putative pseudogenes for this gene on chromosomes 2, 13, and 22. [provided by RefSeq, Jan 2014]"
169,MGP001303,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GPX1,3p21.3,3,GPXD; GSHPX1;,"This gene encodes a member of the glutathione peroxidase family. Glutathione peroxidase functions in the detoxification of hydrogen peroxide, and is one of the most important antioxidant enzymes in humans. This protein is one of only a few proteins known in higher vertebrates to contain selenocysteine, which occurs at the active site of glutathione peroxidase and is coded by UGA, that normally functions as a translation termination codon. In addition, this protein is characterized in a polyalanine sequence polymorphism in the N-terminal region, which includes three alleles with five, six or seven alanine (ALA) repeats in this sequence. The allele with five ALA repeats is significantly associated with breast cancer risk. Two alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
